<html><body><pre>
Object   H     G    Epoch    M         Peri.      Node       Incl.        e           n         a                     NObs NOpp   Arc    r.m.s.       Orbit ID
A10a1Gd 15.6  0.15  K18BI 260.77219  129.08361   68.64297   29.33993  0.5090457  0.41315762   1.7853589                  4   1    0 days 0.23         NEOCPV0103
A10a1Gd 15.6  0.15  K18BI 250.97533  133.05774   68.76442   29.14583  0.4946673  0.43288043   1.7307091                  4   1    0 days 0.23         NEOCPV0104
A10a1Gd 15.6  0.15  K18BI 240.89896  137.20649   68.88769   28.95161  0.4830845  0.45059973   1.6850344                  4   1    0 days 0.23         NEOCPV0105
A10a1Gd 15.6  0.15  K18BI 230.59120  141.49065   69.01389   28.75542  0.4743977  0.46622588   1.6471702                  4   1    0 days 0.23         NEOCPV0106
A10a1Gd 15.6  0.15  K18BI 220.11041  145.86191   69.14338   28.55670  0.4686644  0.47967433   1.6162371                  4   1    0 days 0.23         NEOCPV0107
A10a1Gd 15.6  0.15  K18BI 209.52303  150.26481   69.27670   28.35468  0.4658912  0.49086539   1.5915774                  4   1    0 days 0.23         NEOCPV0108
A10a1Gd 15.6  0.15  K18BI 198.89341  154.64306   69.41498   28.14756  0.4660303  0.49974591   1.5726662                  4   1    0 days 0.23         NEOCPV0109
A10a1Gd 15.6  0.15  K18BI 188.29532  158.93915   69.55738   27.93711  0.4689812  0.50624002   1.5591877                  4   1    0 days 0.23         NEOCPV0110
A10a1Gd 15.6  0.15  K18BI 174.01777  164.47263   69.89422   27.41023  0.4745964  0.51167522   1.5481265                  4   1    0 days 0.23         NEOCPV0111
A10a1Gd 15.6  0.15  K18BI 163.67908  168.39928   70.09963   27.10741  0.4826912  0.51259940   1.5462652                  4   1    0 days 0.23         NEOCPV0112
A10a1Gd 15.6  0.15  K18BI 153.55131  172.11888   70.31134   26.80209  0.4930557  0.51106009   1.5493686                  4   1    0 days 0.23         NEOCPV0113
A10a1Gd 15.6  0.15  K18BI 143.66259  175.61288   70.52901   26.49523  0.5054661  0.50705887   1.5575086                  4   1    0 days 0.23         NEOCPV0114
A10a1Gd 15.6  0.15  K18BI 134.03752  178.86865   70.75371   26.18562  0.5196958  0.50062942   1.5708154                  4   1    0 days 0.23         NEOCPV0115
A10a1Gd 15.6  0.15  K18BI 124.68642  181.88523   70.98518   25.87412  0.5355238  0.49179531   1.5895705                  4   1    0 days 0.23         NEOCPV0116
A10a1Gd 15.6  0.15  K18BI 115.62085  184.66392   71.22439   25.55975  0.5527406  0.48062065   1.6141148                  4   1    0 days 0.23         NEOCPV0117
A10a1Gd 15.6  0.15  K18BI 106.83843  187.21556   71.47105   25.24350  0.5711522  0.46714400   1.6450112                  4   1    0 days 0.23         NEOCPV0118
A10a1Gd 15.6  0.15  K18BI  98.33956  189.55114   71.72565   24.92519  0.5905825  0.45143797   1.6829478                  4   1    0 days 0.23         NEOCPV0119
A10a1Gd 15.6  0.15  K18BI  90.12757  191.68077   71.98944   24.60364  0.6108731  0.43361007   1.7287671                  4   1    0 days 0.23         NEOCPV0120
A10a1Gd 15.6  0.15  K18BI  82.19502  193.62151   72.26193   24.28015  0.6318835  0.41373426   1.7836997                  4   1    0 days 0.23         NEOCPV0121
A10a1Gd 15.6  0.15  K18BI  74.54572  195.38371   72.54473   23.95322  0.6534900  0.39195187   1.8491873                  4   1    0 days 0.23         NEOCPV0122
A10a1Gd 15.6  0.15  K18BI  67.17442  196.98396   72.83744   23.62406  0.6755841  0.36837023   1.9272869                  4   1    0 days 0.23         NEOCPV0123
A10a1Gd 15.6  0.15  K18BI  60.08642  198.43199   73.14148   23.29158  0.6980710  0.34316268   2.0205488                  4   1    0 days 0.23         NEOCPV0124
A10a1Gd 15.4  0.15  K18BI 318.03069  112.39412   66.10438   34.80433  0.6938273  0.22577315   2.6710859                  4   1    0 days 0.23         NEOCPV0125
A10a1Gd 15.4  0.15  K18BI 310.77301  114.88899   66.18139   34.63912  0.6667439  0.25482775   2.4639860                  4   1    0 days 0.23         NEOCPV0126
A10a1Gd 15.4  0.15  K18BI 303.11584  117.56531   66.25851   34.47565  0.6414227  0.28306763   2.2972552                  4   1    0 days 0.23         NEOCPV0127
A10a1Gd 15.4  0.15  K18BI 295.07373  120.42890   66.33591   34.31347  0.6179895  0.31026631   2.1609579                  4   1    0 days 0.23         NEOCPV0128
A10a1Gd 15.4  0.15  K18BI 286.66533  123.48037   66.41335   34.15316  0.5965741  0.33621105   2.0483055                  4   1    0 days 0.23         NEOCPV0129
A10a1Gd 15.4  0.15  K18BI 277.90934  126.71723   66.49102   33.99426  0.5773068  0.36072556   1.9544209                  4   1    0 days 0.23         NEOCPV0130
A10a1Gd 15.3  0.15  K18BI 268.82760  130.13193   66.56897   33.83661  0.5603136  0.38365698   1.8757458                  4   1    0 days 0.23         NEOCPV0131
A10a1Gd 15.3  0.15  K18BI 259.45157  133.70840   66.64709   33.68047  0.5457103  0.40485116   1.8096967                  4   1    0 days 0.23         NEOCPV0132
A10a1Gd 15.3  0.15  K18BI 249.80941  137.42770   66.72617   33.52401  0.5335959  0.42420721   1.7542199                  4   1    0 days 0.23         NEOCPV0133
A10a1Gd 15.3  0.15  K18BI 239.94067  141.26170   66.80649   33.36658  0.5240456  0.44161449   1.7078137                  4   1    0 days 0.23         NEOCPV0134
A10a1Gd 15.3  0.15  K18BI 229.89253  145.17552   66.88832   33.20766  0.5171045  0.45696776   1.6693434                  4   1    0 days 0.23         NEOCPV0135
A10a1Gd 15.3  0.15  K18BI 219.71127  149.13167   66.97251   33.04538  0.5127823  0.47019237   1.6378935                  4   1    0 days 0.23         NEOCPV0136
A10a1Gd 15.3  0.15  K18BI 209.45156  153.08826   67.05920   32.87957  0.5110505  0.48120423   1.6128096                  4   1    0 days 0.23         NEOCPV0137
A10a1Gd 15.3  0.15  K18BI 199.16692  157.00410   67.14847   32.71014  0.5118425  0.48993631   1.5935889                  4   1    0 days 0.23         NEOCPV0138
A10a1Gd 15.3  0.15  K18BI 188.90169  160.84183   67.24195   32.53372  0.5150557  0.49635431   1.5798221                  4   1    0 days 0.23         NEOCPV0139
A10a1Gd 15.3  0.15  K18BI 174.53892  165.95446   67.53178   31.94761  0.5205571  0.50208320   1.5677817                  4   1    0 days 0.23         NEOCPV0140
A10a1Gd 15.3  0.15  K18BI 164.48713  169.47218   67.68435   31.65600  0.5281897  0.50296977   1.5659388                  4   1    0 days 0.23         NEOCPV0141
